정점:5개, 실행 시간:9.732713222503662초
V0   V1   V2   V3   V4   cost
_____________________________
0    1    0    1    0    Cost:0.0200000000000000
1    0    1    0    1    Cost:0.0300000000000000
0    1    0    2    0    Cost:0.0300000000000000
0    2    0    1    0    Cost:0.0300000000000000
1    0    1    0    2    Cost:0.0400000000000000
1    0    2    0    1    Cost:0.0400000000000000
2    1    0    1    0    Cost:0.0400000000000000
2    0    1    0    1    Cost:0.0400000000000000
0    3    0    1    0    Cost:0.0400000000000000
0    1    2    1    0    Cost:0.0400000000000000
